,name,link,types
175,Echiquier Agenor Euro SRI Mid Cap A,0P0001H3Z4,OPC
176,Palatine Entreprises Familiales,MP-803917,OPC
177,Gay-Lussac Green Impact A,MP-806567,OPC
178,BNP Paribas Midcap France ISR Classic D,MP-829696,OPC
179,Amplegest Midcaps AC,MP-957286,OPC
180,Lazard Small Caps France R,MP-442578,OPC
181,Kirao Multicaps AC,0P00014B56,OPC
182,Pluvalca Small Caps A,MP-803639,OPC
183,Cogefi Prospective P,MP-803004,OPC
184,Groupama Avenir Euro NC,MP-999283,OPC
185,Insertion Emplois Dynamique RC,MP-542774,OPC
186,Ecofi Avenir Plus,MP-805666,OPC
187,Talence Optimal AC,MP-678499,OPC
188,Quadrige France Smallcaps C,0P0000ZEJL,OPC
189,Kirao Multicaps Alpha C,0P00014B59,OPC
190,CM-AM PME-ETI Actions RC,0P000125M7,OPC
191,Kirao Smallcaps AC,0P00016FUF,OPC
192,BNP Paribas Valeurs Françaises ISR Cl C,MP-800178,OPC
193,BNP Paribas Valeurs Françaises ISR Cl D,MP-806115,OPC
194,Mirova Europe Environmental Eq R/A EUR,0P00011IV8,OPC
195,Mandarine Entrepreneurs R,0P0001CO8S,OPC
196,Gay-Lussac Smallcaps A,0P00012QV1,OPC
197,Talence Euromidcap AC,0P000147O1,OPC
198,R-co Midcap France,MP-801451,OPC
199,Pluvalca Disruptive Opportunities A,0P00017QX8,OPC
200,Ecofi Trajectoires Durables C,MP-806704,OPC
201,Quadrige Multicaps Europe C,0P0001D3S7,OPC
202,LMdG Smid Cap (EUR) P,0P0000X9BU,OPC
203,Quadrige Europe Midcaps C,0P00019O4X,OPC
204,Quadrige Rendement France Midcaps C,0P000153BU,OPC
205,Tocqueville PME P,0P00011GDS,OPC
206,Tocqueville PME R,0P00011GDU,OPC
207,Palatine France Small Cap I,MP-800357,OPC
208,AIS Mandarine Opportunités P,MP-800281,OPC
209,Mandarine Opportunités R,MP-407646,OPC
210,Dorval Manageurs Smid Cap Euro RC,0P0001AJ57,OPC
211,HSBC Euro PME AC,MP-804245,OPC
212,HSBC Euro PME AD,MP-804246,OPC
213,Pluvalca Initiatives PME A,0P0000XQ7F,OPC
214,Amplegest PME AC,0P00011S1H,OPC
215,DNCA Actions Euro Micro Caps R,MP-803302,OPC
216,Dorval Manageurs Small Cap Euro RC,0P00011QYC,OPC
217,Talence Sélection PME AC,0P00011RMN,OPC
218,HSBC Microcaps Euro AD,MP-803525,OPC
219,HSBC Microcaps Euro AC,MP-803524,OPC
220,La Française Actions France PME C,MP-801535,OPC
221,Axiom European Banks Equity ZC EUR,0P0001FKQ1,OPC
222,Axiom European Banks Equity HC USD(hv),0P0001FKQ0,OPC
223,HSBC Euro PME RC,0P00017MKL,OPC
224,HSBC Small Cap France R,0P00012TN3,OPC
