,Unnamed: 0.1,Unnamed: 0,date,open,close,high,low,volumme
101,101.0,101.0,2024-04-18,9.6,9.6,9.6,9.6,0
102,102.0,102.0,2024-04-24,11.244,11.244,11.244,11.244,0
103,103.0,103.0,2024-05-03,10.017,10.017,10.017,10.017,0
104,104.0,104.0,2024-05-10,10.407,10.407,10.407,10.407,250
105,105.0,105.0,2024-05-13,10.099,10.099,10.099,10.099,1
106,106.0,106.0,2024-05-14,9.838,9.838,9.838,9.838,1
107,107.0,107.0,2024-05-15,10.008,10.008,10.008,10.008,175
108,108.0,108.0,2024-05-16,10.681,10.681,10.681,10.681,33
109,109.0,109.0,2024-05-17,10.644,10.644,10.644,10.644,0
110,110.0,110.0,2024-05-20,10.907,10.907,10.907,10.907,0
111,111.0,111.0,2024-05-22,11.671,11.671,11.671,11.671,0
112,112.0,112.0,2024-05-29,11.597,11.597,11.597,11.597,0
113,113.0,113.0,2024-05-30,11.352,11.352,11.352,11.352,0
114,114.0,114.0,2024-06-03,11.205,11.205,11.205,11.205,0
115,115.0,115.0,2024-06-05,11.664,11.664,11.664,11.664,0
116,116.0,116.0,2024-06-10,12.209,12.209,12.209,12.209,0
117,117.0,117.0,2024-06-12,12.271,12.271,12.271,12.271,1
118,118.0,118.0,2024-06-13,12.825,12.825,12.825,12.825,0
119,119.0,119.0,2024-06-24,12.639,12.639,12.639,12.639,0
120,120.0,120.0,2024-06-27,13.83,13.83,13.83,13.83,100
121,121.0,121.0,2024-06-28,13.465,13.465,13.465,13.465,100
122,122.0,122.0,2024-07-01,13.595,13.595,13.595,13.595,0
123,123.0,123.0,2024-07-08,13.629,13.629,13.629,13.629,0
124,124.0,124.0,2024-07-11,13.367,13.367,13.367,13.367,0
125,125.0,125.0,2024-07-15,14.099,14.099,14.099,14.099,0
126,126.0,126.0,2024-07-18,14.687,14.687,14.687,14.687,0
127,127.0,127.0,2024-07-22,14.979,14.979,14.979,14.979,0
128,128.0,128.0,2024-07-24,14.608,14.744,14.744,14.608,86
129,129.0,129.0,2024-07-25,13.773,13.682,13.773,13.682,634
130,130.0,130.0,2024-07-26,13.515,13.515,13.515,13.515,53
131,131.0,131.0,2024-07-29,13.753,13.308,13.792,13.308,4423
132,132.0,132.0,2024-07-30,13.13,13.13,13.13,13.13,0
133,133.0,133.0,2024-08-06,10.786,10.648,10.786,10.648,360
134,134.0,134.0,2024-08-07,10.749,10.749,10.749,10.749,0
135,135.0,135.0,2024-08-09,11.0,11.0,11.0,11.0,50
136,136.0,136.0,2024-08-12,10.75,10.75,10.75,10.75,269
137,137.0,137.0,2024-08-13,10.619,10.619,10.619,10.619,0
138,138.0,138.0,2024-09-02,10.427,10.399,10.427,10.39,374
139,139.0,139.0,2024-09-03,10.135,10.135,10.135,10.135,0
140,140.0,140.0,2024-09-16,10.937,10.937,10.937,10.937,0
141,141.0,141.0,2024-09-18,11.03,11.03,11.03,11.03,0
142,142.0,142.0,2024-09-20,11.092,11.05,11.092,11.05,46
143,0.0,,2023-06-22 00:00:00,7.113,7.113,7.113,7.113,0
144,1.0,,2023-06-28 00:00:00,7.302,7.302,7.302,7.302,0
145,2.0,,2023-07-04 00:00:00,8.206,8.206,8.206,8.206,0
146,3.0,,2023-07-06 00:00:00,8.074,8.074,8.074,8.074,0
147,4.0,,2023-07-10 00:00:00,8.823,8.823,8.823,8.823,350
148,5.0,,2023-07-11 00:00:00,9.06,9.06,9.06,9.06,350
149,6.0,,2023-07-12 00:00:00,9.289,9.368,9.368,9.289,1000
150,7.0,,2023-07-13 00:00:00,9.288,9.288,9.288,9.288,0
151,8.0,,2023-07-17 00:00:00,9.98,9.98,9.98,9.98,51
152,9.0,,2023-07-18 00:00:00,9.73,9.35,9.73,9.35,1108
153,10.0,,2023-07-19 00:00:00,9.825,9.825,9.825,9.825,44
154,11.0,,2023-07-20 00:00:00,9.736,9.53,9.736,9.53,149
155,12.0,,2023-07-21 00:00:00,9.262,9.03,9.262,9.03,413
156,13.0,,2023-07-24 00:00:00,9.0,9.0,9.0,9.0,0
157,14.0,,2023-07-26 00:00:00,9.296,9.296,9.296,9.296,100
158,15.0,,2023-07-27 00:00:00,9.514,9.514,9.514,9.514,0
159,16.0,,2023-07-31 00:00:00,10.38,9.482,10.38,9.437,506
160,17.0,,2023-08-01 00:00:00,9.06,8.995,9.06,8.995,200
161,18.0,,2023-08-02 00:00:00,9.274,8.96,9.274,8.96,150
162,19.0,,2023-08-03 00:00:00,8.993,8.993,8.993,8.993,4
